timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772216662396,186,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-14,text,false,,1788,234,20,20,https://www.saucedemo.com/,186,0,127
1772216662390,197,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,197,0,136
1772216662396,200,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,200,0,135
1772216662417,180,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-3,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,179,0,119
1772216662426,179,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-18,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,179,0,120
1772216662427,180,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-19,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,180,0,119
1772216662441,177,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-8,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,177,0,118
1772216662445,192,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-17,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,192,0,130
1772216662463,184,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-10,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,184,0,122
1772216662476,172,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-5,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,171,0,112
1772216662471,179,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-4,text,false,,1788,234,20,20,https://www.saucedemo.com/,179,0,119
1772216662523,167,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-1,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,167,0,111
1772216662522,169,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-15,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,168,0,112
1772216662514,181,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-16,text,false,,1788,234,20,20,https://www.saucedemo.com/,181,0,120
1772216662536,168,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-9,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,168,0,112
1772216662526,178,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-11,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,178,0,119
1772216662551,165,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-12,text,false,,1788,234,20,20,https://www.saucedemo.com/,165,0,108
1772216662570,154,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-2,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,154,0,103
1772216662571,170,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-20,text,false,,1788,234,20,20,https://www.saucedemo.com/,170,0,112
1772216662582,181,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-14,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,181,0,123
